class,alternative_terms,comments,definitions,editor_notes,has_broad_synonyms,has_exact_synonyms,has_narrow_synonyms,has_related_synonyms,hasSynonyms,in_subsets,labels,superclasses
ENVO_01000360,,Can be linked to a solutional environmental process and acidic groundwater.,"A cave formed by the dissolution of soluble rock or other solid material such as limestone, chalk, dolomite, gypsum, salt or marble.",,,,,,,,solutional cave,ENVO_00000067
ENVO_01000361,,,A cave formed at the same time as the surrounding rock.,,,,,,,,primary cave,ENVO_00000067
ENVO_01000362,,,A cave that is formed by the action of pressurised lava pushing against surrounding rock and then draining away.,,,,,,,,inflationary cave,ENVO_00000322
ENVO_01000363,,,A cave formed by erosion caused by flowing streams carrying rocks or sediments.,,,,,,,,erosional cave,ENVO_00000067
ENVO_01000364,,,A glacier cave is a cave formed within or under a glacier.,,,,,,,,glacier cave,ENVO_00000067
ENVO_01000365,,,An ice cave is a bedrock cave which contains year-round ice formations.,,,,,,,,ice cave,ENVO_00000067
ENVO_01000366,,,A talus cave is a cave formed by the openings between large boulders which have fallen into a random heap.,,,,,,,,talus cave,ENVO_00000067
ENVO_01000367,,,An anchialine cave is a cave which contains an anchialine pool.,,,,,,,,anchialine cave,ENVO_00000067
ENVO_01000368,,,An anchialine pool is a landlocked water body with a subterranean connection to the ocean and which has fresh water towards its surface with saline water in its deeper layers.,,,anchialine pond,,,,,anchialine pool,ENVO_00000033
ENVO_01000369,,,A cave which is within a vadose zone.,,,,,,,,vadose cave,ENVO_00000067
ENVO_01000374,,,"A dry woodland is a woodland which occurs in areas of rain shadow in a tropical marine climate,  receives very little rainfall,  typically has rapidly draining soils and trees which have adaptations to dry climates such as thick bark, small leaves, and the disposition to shed their leaves.",,,xerophytic ecosystem,,,,,dry woodland,"ENVO_01001245, ENVO_01001701"
ENVO_01000376,,,"A semi-evergreen forest is a forest which undergoes a long dry season and, as a consequence, has a two-storey layer structure,  a dry canopy, a leaf litter layer that only decays during moist periods trees with very small leaves or which shed their leaves to conserve water and which flower during the dry season and grow during the wet season.",,semi-evergreen forest,mesophytic ecosystem,,,,,tropical marine semi-evergreen forest,ENVO_01001803
ENVO_01000382,,"This variant of the desert climate is somewhat rare outside of Asia. A cold desert climate is typically found in temperate zones, almost always in the rain shadow of high mountains which restrict precipitation from the westerly winds, or in the case of Central Asia, from the monsoon. The Gobi desert in Mongolia is a classic example of a region with a cold desert climate. Though hot in summer, it shares the very cold winters of the rest of Central Asia. The Kyzyl Kum and Taklamakan deserts of Central Asia and the drier portions of the Great Basin Desert of the western United States are other major examples of BWk climates. The Ladakh region, lying in the Great Himalayas in India also has a cold desert climate.","A cold desert is a desert which has hot summers and cold, dry winters with temperatures below 0 degrees Celsius",,,,,,,envoPolar,cold desert,ENVO_00000097
ENVO_01000383,,This class is one of the forest types as identified by the updated Global Forest Map (GFM 2000).,An evergreen needleleaf forest which is subject to temperate climate patterns.,,coniferous forest,,,,,,temperate evergreen needleleaf forest,"ENVO_01000433, ENVO_01001805"
ENVO_01000384,,This class is one of the forest types as identified by the updated Global Forest Map (GFM 2000).,"A broadleaf forest which is subject to tropical climate patterns with high rainfall, is located in a lowland area, and is dominated by plants which retain their leaves throughout the year.",,,,,rain forest,,,tropical lowland evergreen broadleaf rain forest,ENVO_01001800
ENVO_01000385,,This class is one of the forest types as identified by the updated Global Forest Map (GFM 2000).,A deciduous broadleaf forest which is subject to temperate climate patterns.,,,,,,,,temperate deciduous broadleaf forest,"ENVO_01001792, ENVO_01001805"
ENVO_01000386,,This class is one of the forest types as identified by the updated Global Forest Map (GFM 2000).,A deciduous needleleaf forest which is subject to temperate climate patterns.,,coniferous forest,,,,,,temperate deciduous needleleaf forest,"ENVO_01000433, ENVO_01001805"
ENVO_01000387,,"This class corresponds to  the ""Tropical Deciduous / semi-deciduous broadleaf forest"" category of the updated Global Forest Map classification (GFM 2000). To reconstruct the original class, an aggregate class with this and the ""tropical semi-deciduous broadleaf forest"" class can be made.",A deciduous broadleaf forest which is subject to tropical climate patterns.,,,,,rain forest,,,tropical deciduous broadleaf forest,ENVO_01001792
ENVO_01000388,,"This class corresponds to  the ""Tropical Deciduous / semi-deciduous broadleaf forest"" category of the updated Global Forest Map classification (GFM 2000). To reconstruct the original class, an aggregate class with this and the ""tropical deciduous broadleaf forest"" class can be made.",A semi-deciduous broadleaf forest which is subject to tropical climate patterns.,,,,,rain forest,,,tropical semi-deciduous broadleaf forest,ENVO_01001792
ENVO_01000389,,"This class corresponds to  the ""Temperate Mixed broadleaf / needleleaf forest"" category of the updated Global Forest Map classification (GFM 2000). To reconstruct the original class, an aggregate class with this and the ""temperate mixed needleleaf forest"" class can be made.",A temperate mixed forest which has communities of trees composed primarily of species with broad leaves.,,,,,,,,temperate mixed broadleaf forest,ENVO_01001796
ENVO_01000390,,"This class corresponds to  the ""Temperate Mixed broadleaf / needleleaf forest"" category of the updated Global Forest Map classification (GFM 2000). To reconstruct the original class, an aggregate class with this and the ""temperate mixed broadleaf forest"" class can be made.",A temperate mixed forest which has communities of trees composed primarily of species with needle-like leaves (e.g. conifers).,,,,,coniferous forest,,,temperate mixed needleleaf forest,ENVO_01001796
ENVO_01000391,,This class is one of the forest types as identified by the updated Global Forest Map (GFM 2000).,,,,,,rain forest,,,tropical semi-evergreen moist broadleaf forest,ENVO_01001800
ENVO_01000392,,This class is one of the forest types as identified by the updated Global Forest Map (GFM 2000).,A montane forest which is located in a region subject to tropical climate patterns modulated by sufficient elevation to encounter upper montane climate patterns.,,,,,,,,tropical upper montane forest,"ENVO_01001803, ENVO_01000435"
ENVO_01000393,,,A montane forest which is located in a region subject to tropical climate patterns modulated by sufficient elevation to encounter lower montane climatic patterns.,,,,,,,,tropical lower montane forest,"ENVO_01001803, ENVO_01000435"
ENVO_01000394,,This class is one of the forest types as identified by the updated Global Forest Map (GFM 2000).,A freshwater swamp forest which is subject to tropical climate patterns.,,,,,,,,tropical freshwater swamp forest,"ENVO_01001803, ENVO_01000432"
ENVO_01000395,,This class is one of the forest types as identified by the updated Global Forest Map (GFM 2000).,A sclerophyllous forest which is subject to temperate climate patterns.,,,,,,,,temperate sclerophyllous dry forest,"ENVO_01001805, ENVO_01000434"
ENVO_01000396,,This class is one of the forest types as identified by the updated Global Forest Map (GFM 2000).,A sclerophyllous forest which is subject to tropical climate patterns.,,,,,,,,tropical sclerophyllous dry forest,"ENVO_01001803, ENVO_01000434"
ENVO_01000397,,This class is one of the forest types as identified by the updated Global Forest Map (GFM 2000).,A broadleaf evergreen forest which is subject to temperate climate patterns.,,,,,,,,temperate broadleaf evergreen forest,ENVO_01001794
ENVO_01000398,,This class is one of the forest types as identified by the updated Global Forest Map (GFM 2000). It is currently unclear how to relate forests and swamps.,A freshwater swamp forest which is subject to temperate climate patterns.,,,,,,,,temperate freshwater swamp forest,"ENVO_01001805, ENVO_01000432"
ENVO_01000399,,This class is one of the forest types as identified by the updated Global Forest Map (GFM 2000).,A needleleaf forest which is subject to tropical climate patterns.,,coniferous forest,,,,,,tropical needleleaf forest,"ENVO_01000433, ENVO_01001803"
ENVO_01000400,,This class is one of the forest types as identified by the updated Global Forest Map (GFM 2000).,,,,,,,,,tropical thorn forest,ENVO_01001803
ENVO_01000401,,"This class corresponds to  the ""Tropical Mixed needleleaf / broadleaf forest"" category of the updated Global Forest Map classification (GFM 2000). To reconstruct the original class, an aggregate class with this and the ""tropical mixed broadleaf forest"" class can be made.",A mixed needleleaf forest which has communities of trees composed primarily of species with needle-like leaves (e.g. conifers).,,,,,coniferous forest,,,tropical mixed needleleaf forest,ENVO_01001797
ENVO_01000402,,"This class corresponds to  the ""Tropical Mixed needleleaf / broadleaf forest"" category of the updated Global Forest Map classification (GFM 2000). To reconstruct the original class, an aggregate class with this and the ""tropical mixed needleleaf forest"" class can be made.
",A tropical mixed broadleaf forest which has communities of trees composed primarily of species with broad leaves.,,,,,,,,tropical mixed broadleaf forest,ENVO_01001797
ENVO_01000403,,"This class corresponds to  the ""Tropical Mixed needleleaf / broadleaf forest"" category of the updated Global Forest Map classification (GFM 2000). To reconstruct the original class, an aggregate class with this and the ""tropical mixed needleleaf forest"" class can be made.

The relationship between this ""forest"" class and the mangrove swamp must be clarified.",,,,tropical mangrove forest,,,,,tropical mangrove,ENVO_01001803
